"Wining Team","Losing Team","Wining Score","Losing Score"
"Texas Tech","Ark Pine Bluff",94,54
"Toledo","Bethune-Cookman",102,68
"UAB","South Florida",79,68
"UNC Asheville","Georgetown",79,73
"Utah","Duke",77,75
"Utah Valley","UT San Antonio",83,78
"Valparaiso","Missouri St",74,45
"Vanderbilt","Wofford",80,56
"Virginia","Villanova",86,75
"Virginia Tech","Grambling",87,52
"Winthrop","Ga Southern",88,81
"Wyoming","NE Omaha",76,75
"Xavier","Auburn",85,61
"Ark Little Rock","Northern Arizona",84,57
"Austin Peay","Lipscomb",92,84
"Boise St","Bradley",90,70
"Coastal Car","Alabama St",68,65
"Connecticut","MA Lowell",88,79
"E Washington","Denver",74,58
"Evansville","Fresno St",85,77
"James Madison","East Carolina",67,61
"Manhattan","Morgan St",78,66
"Marist","Army",89,83
"MD E Shore","American Univ",79,64
"Monmouth NJ","Rutgers",73,67
"Morehead St","W Carolina",60,52
"NJIT","St John's",83,74
"Pittsburgh","Davidson",94,69
"Samford","Nebraska",69,58
"Seattle","San Jose St",67,64
"St Francis NY","Liberty",64,55
"Stony Brook","Hofstra",71,68
"TAM C. Christi","Cal Poly SLO",80,74
"TCU","Abilene Chr",80,69
"Wright St","Bowling Green",83,47
"Akron","Santa Barbara",84,70
"Boston Univ","New Hampshire",78,74
"Colorado St","SC Upstate",89,61
"Creighton","North Texas",105,82
"E Michigan","Coppin St",73,62
"Elon","UNC Asheville",86,81
"Florida St","Charleston So",75,64
"Georgia Tech","SE Louisiana",75,62
"Gonzaga","Pepperdine",99,73
"Grand Canyon","Houston",78,69
"Holy Cross","Maine",76,75
"Jacksonville","Florida A&M",68,66
"Jacksonville St","N Colorado",79,76
"Long Island","Incarnate Word",66,59
"Loyola-Chicago","W Illinois",72,67
"Marquette","Chicago St",91,74
"Marshall","Wyoming",90,82
"N Dakota St","Idaho St",67,62
"NE Omaha","E Illinois",80,68
"New Mexico St","Oral Roberts",76,61
"Norfolk St","UTEP",85,76
"North Carolina","Appalachian St",94,70
"Northwestern","Sacred Heart",103,67
"Notre Dame","Youngstown St",87,78
"Ohio","Ark Pine Bluff",65,58
"Oregon","Alabama",72,68
"Oregon St","Quinnipiac",82,61
"Pacific","Santa Clara",73,72
"Portland","Loy Marymount",87,60
"Providence","Massachusetts",90,66
"S Illinois","St Louis",65,52
"Southern Univ","NC Central",68,63
"St Mary's CA","San Francisco",74,52
"Stanford","CS Sacramento",70,60
"TN Martin","Alcorn St",70,47
"Toledo","NC A&T",95,62
"UC Irvine","Sam Houston St",63,53
"ULL","New Orleans",79,69
"USC","Edwardsville",70,51
"Utah St","UTRGV",94,69
"VMI","Gardner Webb",76,75
"West Virginia","E Kentucky",84,59
"William & Mary","High Point",78,75
"Arizona","Long Beach St",85,70
"Arizona St","SF Austin",80,73
"Arkansas","North Florida",97,72
"Arkansas St","Cent Arkansas",77,67
"Auburn","New Mexico",83,78
"Austin Peay","Wofford",84,77
"Boston College","Fordham",64,55
"Butler","Southern Utah",88,52
"C Michigan","Howard",72,52
"Cal Poly SLO","UT San Antonio",88,73
"Canisius","ULM",108,96
"Chattanooga","Radford",77,75
"Col Charleston","Campbell",86,68
"Colorado","Penn St",71,70
"CS Bakersfield","Portland St",78,66
"Dartmouth","Longwood",78,54
"Dayton","Miami OH",64,63
"DePaul","G Washington",82,61
"Drake","Abilene Chr",87,70
"Drexel","Penn",53,52
"East Carolina","S Carolina St",98,71
"Evansville","Alabama A&M",91,70
"Fairfield","Loyola MD",94,88
"Florida","Jacksonville",89,65
"Florida Intl","Binghamton",66,49
"Ga Southern","Stetson",78,58
"George Mason","Wagner",71,60
"Georgetown","Charlotte",62,59
"Georgia","Clemson",71,48
"Georgia St","MTSU",64,62
"Grand Canyon","Marshall",85,81
"Harvard","BYU",85,82
"Hawaii","Northern Iowa",68,52
"Hofstra","FL Atlantic",68,54
"Houston","Wyoming",94,89
"Idaho","UC Davis",68,51
"Illinois St","Tennessee St",66,55
"Indiana","Kennesaw",99,72
"Indiana St","Ball St",73,61
"Iowa","Tennessee Tech",85,63
"Iowa St","Cincinnati",81,79
"IPFW","W Michigan",89,86
"James Madison","Mt St Mary's",73,53
"Kansas","San Diego St",70,57
"Kansas St","North Dakota",63,49
"Louisiana Tech","FL Gulf Coast",66,63
"Louisville","Missouri KC",75,47
"LSU","American Univ",79,51
"Marist","Brown",84,83
"Memphis","IUPUI",84,48
"Miami FL","La Salle",95,49
"Michigan St","Oakland",99,93
"Mississippi","Troy",83,80
"N Dakota St","UTRGV",68,50
"Navy","Furman",62,49
"NC Central","E Illinois",57,52
"NC State","UNC Greensboro",58,52
"NE Omaha","Southern Univ",74,53
"Nebraska","Prairie View",81,50
"Nicholls St","Hampton",84,81
"Northeastern","Vermont",77,65
"Ohio St","Mercer",64,44
"Oklahoma","Washington St",88,60
"Old Dominion","Rhode Island",71,65
"Princeton","Bucknell",89,77
"Purdue","Vanderbilt",68,55
"Richmond","Presbyterian",74,44
"Santa Barbara","Iona",80,76
"SE Missouri St","Missouri St",78,74
"Seton Hall","South Florida",66,49
"Siena","St Bonaventure",73,70
"SMU","Kent",90,74
"South Alabama","Rice",74,67
"South Carolina","St John's",75,61
"St Joseph's PA","Virginia Tech",79,62
"Stony Brook","Lehigh",75,62
"Syracuse","Montana St",82,60
"Tennessee","ETSU",76,67
"Texas Tech","Ark Little Rock",65,53
"Tulane","Southern Miss",59,40
"Tulsa","Northern Arizona",90,55
"UC Irvine","Norfolk St",80,62
"UC Riverside","Denver",63,54
"UCF","Bethune-Cookman",101,96
"UCLA","McNeese St",67,53
"UNC Wilmington","Utah Valley",102,77
"UNLV","South Dakota",103,68
"Utah","Delaware St",105,58
"Utah St","Idaho St",69,58
"UTEP","Sam Houston St",87,68
"VA Commonwealth","Buffalo",90,69
"Villanova","Delaware",78,48
"Virginia","California",63,62
"WKU","Detroit",79,74
"Washington","Seattle",79,68
"Weber St","S Dakota St",99,95
"Wichita St","Nevada",98,69
"Winthrop","Alabama St",92,84
"Wright St","Murray St",65,49
"Xavier","Wake Forest",78,70
"Akron","Iona",78,64
"Albany NY","Niagara",65,56
"Baylor","New Mexico St",85,70
"Bowling Green","Cleveland St",62,47
"BYU","New Mexico",96,66
"Canisius","Nicholls St",83,74
"Connecticut","Central Conn",99,52
"Davidson","Morehead St",81,77
"Georgia Tech","Colgate",76,60
"Gonzaga","Loy Marymount",85,62
"Hampton","ULM",75,64
"Harvard","Auburn",69,51
"Idaho St","UTRGV",76,64
"Illinois","Missouri",68,63
"Louisville","Utah Valley",98,68
"Michigan","Bryant",96,60
"Mississippi St","N Colorado",93,69
"Monmouth NJ","Cornell",78,69
"Northern Iowa","Washington St",63,59
"Oklahoma","Hawaii",84,81
"Penn St","Kent",75,69
"Pittsburgh","W Carolina",79,73
"Portland","Pepperdine",87,79
"Rider","Morgan St",71,49
"Rutgers","F Dickinson",72,64
"San Diego","CS Northridge",81,63
"San Francisco","Pacific",89,76
"SMU","Colorado",70,66
"St Mary's CA","Santa Clara",81,59
"St Peter's","St Francis NY",56,45
"TCU","Bradley",53,49
"Towson","UMBC",91,65
"UNC Wilmington","Missouri KC",76,56
"USC","Lafayette",100,64
"Utah St","N Dakota St",76,62
"WI Milwaukee","Minnesota",74,65
"Wisconsin","WI Green Bay",84,79
"BYU","Northern Iowa",84,76
"Hawaii","Auburn",79,67
"Oklahoma","Harvard",83,71
"Washington St","New Mexico",82,59
"Kentucky","Louisville",75,73
"Fairfield","Bucknell",101,91
"Marquette","Presbyterian",84,66
"Maryland","Marshall",87,67
"Northwestern","Loyola MD",74,59
"Ohio St","S Carolina St",73,57
"S Dakota St","MTSU",65,61
"Syracuse","TX Southern",80,67
"VA Commonwealth","Liberty",85,57
"Arizona St","CS Bakersfield",75,59
"Army","Monmouth NJ",91,84
"Belmont","Valparaiso",85,81
"Brown","Bethune-Cookman",81,73
"Butler","IUPUI",92,54
"California","Davidson",86,60
"Columbia","Howard",72,59
"Cornell","St Peter's",65,62
"Creighton","Coppin St",102,77
"Duke","Elon",105,66
"E Michigan","Detroit",88,73
"Florida Intl","Florida A&M",65,45
"Grand Canyon","Edwardsville",86,75
"Hofstra","Sacred Heart",80,73
"Houston","Nicholls St",76,49
"Iona","Drexel",77,70
"Louisiana Tech","Prairie View",77,58
"North Carolina","UNC Greensboro",96,63
"Oakland","Chicago St",101,93
"Rutgers","MA Lowell",89,66
"Santa Barbara","Washington",83,78
"Seattle","UC Davis",80,75
"South Dakota","FL Gulf Coast",89,81
"St Mary's CA","Utah Valley",65,50
"Stony Brook","NJIT",83,61
"TAM C. Christi","Austin Peay",74,70
"TCU","Delaware St",75,47
"UC Riverside","Morgan St",81,72
"UNC Wilmington","Campbell",106,83
"Villanova","Penn",77,57
"WI Green Bay","Morehead St",78,72
"Alabama","Jacksonville St",67,59
"Albany NY","St Francis NY",71,66
"Ball St","Alabama A&M",63,62
"Baylor","TX Southern",72,59
"Binghamton","Mt St Mary's",62,53
"Buffalo","Delaware",99,79
"Charlotte","Citadel",111,93
"Chattanooga","Lipscomb",80,56
"Connecticut","Texas",71,66
"E Kentucky","Manhattan",76,64
"Florida St","Florida",73,71
"G Washington","UCF",67,50
"Georgia","Robert Morris",79,67
"Georgia Tech","Duquesne",73,67
"Hawaii","MS Valley St",77,48
"Idaho St","CS Northridge",84,79
"Incarnate Word","Rice",82,76
"Iowa","Michigan St",83,70
"Jacksonville","Marist",69,68
"Kansas","UC Irvine",78,53
"Kansas St","St Louis",75,47
"Maine","Quinnipiac",98,95
"Massachusetts","Long Island",83,79
"Memphis","Tulane",77,65
"Miami FL","Princeton",76,64
"Missouri","Ark Pine Bluff",78,25
"N Illinois","IL Chicago",70,65
"NC State","Northeastern",72,66
"North Texas","Sam Houston St",69,64
"Notre Dame","Liberty",73,56
"Oklahoma St","Missouri KC",61,43
"Old Dominion","Norfolk St",68,57
"Portland St","CS Fullerton",89,82
"Purdue","Wisconsin",61,55
"SMU","Tulsa",81,69
"St Joseph's PA","MD E Shore",78,68
"Temple","Cincinnati",77,70
"Tennessee","Tennessee St",74,69
"Texas A&M","Cal Poly SLO",82,63
"Texas Tech","Richmond",85,70
"TN Martin","FL Atlantic",57,48
"UAB","SF Austin",76,66
"UNC Asheville","Furman",67,65
"UTEP","UTRGV",85,64
"Vermont","Siena",73,64
"Wake Forest","LSU",77,71
"William & Mary","C Michigan",88,84
"Akron","S Carolina St",78,68
"Ark Little Rock","South Alabama",69,60
"Arkansas St","Troy",84,81
"Army","Lehigh",88,82
"Boise St","UC Davis",64,56
"Boston College","New Hampshire",72,67
"Bucknell","Navy",88,58
"Colgate","Lafayette",77,70
"Dayton","Arkansas",85,81
"Duke","Long Beach St",103,81
"ETSU","Morehead St",75,72
"Evansville","Indiana St",70,62
"Fresno St","UNLV",69,66
"Georgetown","DePaul",70,58
"Holy Cross","Boston Univ",80,64
"Houston","South Florida",73,67
"Illinois St","Missouri St",74,61
"Indiana","Rutgers",79,72
"Iowa St","Coppin St",104,84
"IPFW","Oral Roberts",90,84
"Jackson St","SE Louisiana",89,66
"Kent","NC A&T",61,60
"Loyola MD","American Univ",75,67
"Maryland","Penn St",70,64
"Mercer","Kennesaw",76,73
"Michigan","Illinois",78,68
"New Mexico","Nevada",88,76
"NJIT","St Francis PA",77,65
"North Carolina","Clemson",80,69
"Northern Iowa","Bradley",80,44
"Northwestern","Nebraska",81,72
"Ohio","UC Riverside",81,59
"Ohio St","Minnesota",78,63
"Pittsburgh","Syracuse",72,61
"Rhode Island","Brown",88,85
"Rider","Hartford",82,80
"S Illinois","Loyola-Chicago",72,62
"San Diego St","Wyoming",67,55
"Santa Barbara","Seattle",88,50
"Seton Hall","Marquette",83,63
"St Bonaventure","Niagara",82,68
"Texas St","Ga Southern",80,66
"Toledo","N Kentucky",90,73
"ULM","Appalachian St",72,56
"UT Arlington","Georgia St",85,70
"Utah St","San Jose St",80,71
"VA Commonwealth","North Florida",80,68
"Vanderbilt","W Michigan",86,61
"Virginia","Oakland",71,58
"Wagner","MA Lowell",76,62
"West Virginia","Virginia Tech",88,63
"Yale","Central Conn",62,42
"Ball St","Chicago St",73,48
"Belmont","SE Missouri St",92,82
"Bryant","Dartmouth",62,60
"Campbell","Winthrop",90,83
"Col Charleston","James Madison",65,62
"Creighton","St John's",80,70
"CS Bakersfield","Morgan St",80,68
"FL Gulf Coast","La Salle",86,77
"Gardner Webb","Coastal Car",65,61
"Gonzaga","Santa Clara",79,77
"Harvard","Wofford",77,57
"High Point","Radford",77,60
"Hofstra","Delaware",90,80
"Idaho","North Dakota",74,71
"Jacksonville","Bethune-Cookman",74,70
"Jacksonville St","Edwardsville",72,67
"Mississippi St","NC Central",71,48
"Montana","Northern Arizona",90,84
"N Colorado","E Washington",96,90
"Northeastern","Elon",86,79
"Pacific","San Diego",77,75
"Providence","Butler",81,73
"San Francisco","Portland",107,95
"Southern Utah","Montana St",93,82
"St Mary's CA","BYU",85,74
"Tennessee Tech","E Illinois",94,84
"Towson","William & Mary",76,69
"UMBC","MD E Shore",89,75
"UNC Asheville","Longwood",70,61
"UNC Wilmington","Drexel",75,63
"Villanova","Xavier",95,64
"Wichita St","Drake",67,47
"California","Colorado",79,65
"IUPUI","South Dakota",77,66
"NE Omaha","W Illinois",82,80
"North Texas","UT San Antonio",70,66
"S Dakota St","Denver",68,59
"Stanford","Utah",70,68
"USC","Washington St",90,77
"UTEP","Rice",61,60
"Washington","UCLA",96,93
"Abilene Chr","Cent Arkansas",62,61
"Air Force","San Jose St",64,57
"Akron","Lipscomb",80,73
"Alabama","Norfolk St",68,49
"Albany NY","Cornell",75,70
"Alcorn St","Prairie View",73,70
"Ark Little Rock","Troy",67,61
"Arkansas St","South Alabama",89,67
"Auburn","Tennessee",83,77
"Boise St","Colorado St",84,80
"Bryant","Central Conn",88,72
"Bucknell","Army",84,76
"BYU","Pacific",81,67
"Canisius","Marist",92,83
"Chattanooga","Citadel",84,78
"Cincinnati","Tulsa",76,57
"Clemson","Florida St",84,75
"Coastal Car","Winthrop",82,63
"Connecticut","Tulane",75,67
"CS Bakersfield","UC Riverside",67,48
"CS Northridge","Morgan St",88,74
"Dayton","Duquesne",66,58
"Detroit","Youngstown St",96,87
"Duke","Boston College",81,64
"E Illinois","Jacksonville St",75,64
"E Kentucky","Austin Peay",79,70
"Elon","Drexel",83,78
"ETSU","W Carolina",82,66
"Evansville","Missouri St",76,59
"F Dickinson","St Francis NY",86,77
"Florida","Georgia",77,63
"Furman","VMI",85,57
"Gardner Webb","Longwood",67,66
"Georgetown","Marquette",80,70
"Georgia St","Texas St",58,46
"Gonzaga","San Francisco",102,94
"Grambling","Alabama A&M",81,78
"Hawaii","Howard",94,59
"High Point","Charleston So",78,73
"Hofstra","Towson",90,58
"Houston","Temple",77,50
"Houston Bap","Northwestern LA",99,73
"Idaho","N Colorado",75,70
"Indiana","Nebraska",79,69
"Indiana St","Loyola-Chicago",73,58
"Iona","Quinnipiac",78,66
"Iowa","Purdue",70,63
"Jackson St","Alabama St",68,61
"James Madison","Delaware",73,63
"Kansas","Baylor",102,74
"Kentucky","Mississippi",83,61
"Lamar","Nicholls St",79,67
"Lehigh","Boston Univ",81,73
"Louisiana Tech","Southern Miss",87,57
"Loyola MD","Lafayette",81,78
"LSU","Vanderbilt",90,82
"Maine","Brown",98,92
"Manhattan","Fairfield",72,66
"Maryland","Northwestern",72,59
"Mercer","Samford",69,50
"Miami FL","Syracuse",64,51
"Michigan","Penn St",79,56
"Michigan St","Minnesota",69,61
"Missouri","Savannah St",81,50
"Montana","Southern Utah",83,66
"Montana St","Northern Arizona",74,72
"Mt St Mary's","Long Island",79,63
"Murray St","Morehead St",62,57
"Navy","Holy Cross",65,60
"Nevada","Wyoming",71,68
"New Mexico","Fresno St",77,62
"NJIT","UMBC",86,83
"North Carolina","Georgia Tech",86,78
"North Dakota","E Washington",79,71
"North Florida","E Michigan",82,77
"Northeastern","UNC Wilmington",65,63
"Oakland","Cleveland St",86,68
"Oklahoma","Iowa St",87,83
"Oklahoma St","TCU",69,48
"Old Dominion","Charlotte",74,65
"Penn","Binghamton",80,45
"Pepperdine","Loy Marymount",68,65
"Pittsburgh","MD E Shore",92,58
"Portland St","CS Sacramento",76,68
"Presbyterian","Campbell",70,63
"Providence","St John's",83,65
"Rhode Island","St Louis",85,57
"S Carolina St","Miami OH",71,67
"S Illinois","Northern Iowa",75,73
"Sacred Heart","Robert Morris",69,65
"Sam Houston St","Incarnate Word",78,72
"San Diego St","Utah St",70,67
"Santa Clara","Portland",84,77
"SC Upstate","Missouri KC",70,68
"Seton Hall","DePaul",78,74
"SF Austin","McNeese St",86,57
"Siena","Niagara",75,63
"SMU","South Florida",72,58
"South Carolina","Memphis",86,76
"St Bonaventure","Davidson",97,85
"St Francis PA","Wagner",73,65
"St Joseph's PA","Richmond",77,73
"St Mary's CA","San Diego",79,46
"Stony Brook","Columbia",69,60
"Tennessee St","SE Missouri St",72,66
"Tennessee Tech","Edwardsville",86,63
"Texas A&M","Arkansas",92,69
"Texas Tech","Texas",82,74
"TX Southern","Southern Univ",88,66
"UC Irvine","New Mexico St",54,52
"UCF","East Carolina",71,68
"ULL","Appalachian St",79,58
"UNC Asheville","Liberty",76,69
"UT Arlington","Ga Southern",92,72
"VA Commonwealth","George Mason",71,47
"Valparaiso","IL Chicago",75,47
"Villanova","Creighton",85,71
"Virginia","Notre Dame",77,66
"Virginia Tech","NC State",73,68
"W Michigan","Jacksonville",76,72
"Weber St","Idaho St",77,56
"West Virginia","Kansas St",87,83
"WI Green Bay","N Kentucky",86,70
"William & Mary","Col Charleston",78,70
"Wisconsin","Rutgers",79,57
"Wofford","UNC Greensboro",87,76
"Wright St","WI Milwaukee",84,82
"Xavier","Butler",88,69
"Yale","Hartford",88,53
"Arizona","Arizona St",94,82
"California","Utah",71,58
"Colgate","American Univ",56,37
"Colorado","Stanford",56,55
"Florida Intl","FL Atlantic",76,59
"G Washington","Fordham",69,63
"Grand Canyon","Bethune-Cookman",74,53
"Illinois St","Drake",67,62
"Louisville","Wake Forest",65,57
"Marshall","WKU",94,76
"Massachusetts","La Salle",74,67
"N Dakota St","Denver",75,49
"NE Omaha","IUPUI",76,71
"Ohio St","Illinois",75,73
"Oregon St","Oregon",70,57
"Princeton","Hampton",89,59
"S Dakota St","W Illinois",63,59
"South Dakota","Oral Roberts",94,84
"UAB","MTSU",78,67
"UT San Antonio","Rice",85,80
"UTEP","North Texas",84,75
"Vermont","Harvard",65,62
"Washington","USC",87,85
"Washington St","UCLA",85,78
"Wichita St","Bradley",85,58
"Bryant","F Dickinson",85,80
"Detroit","Cleveland St",88,80
"ETSU","NC Central",72,68
"Fairfield","Dartmouth",97,85
"Grambling","Alabama St",84,81
"Iona","Niagara",65,52
"Jackson St","Alabama A&M",67,66
"Kansas","Oklahoma",109,106
"Long Island","Central Conn",76,67
"Manhattan","Siena",92,87
"Monmouth NJ","Canisius",81,66
"MS Valley St","Ark Pine Bluff",66,60
"Mt St Mary's","St Francis NY",44,40
"New Orleans","Lamar",68,64
"North Carolina","Florida St",106,90
"Prairie View","Southern Univ",71,65
"Quinnipiac","Rider",64,60
"Sam Houston St","Northwestern LA",94,79
"SF Austin","SE Louisiana",89,69
"St Francis PA","Sacred Heart",84,80
"St Peter's","Marist",68,60
"TX Southern","Alcorn St",74,58
"Virginia Tech","Virginia",70,68
"Wagner","Robert Morris",72,69
"West Virginia","TCU",95,87
"WI Green Bay","Wright St",76,68
"WI Milwaukee","N Kentucky",76,67
"Youngstown St","Oakland",100,98
"Akron","Buffalo",75,71
"Arkansas","Vanderbilt",90,85
"Baylor","Oklahoma St",79,62
"Boise St","Utah St",76,61
"Butler","DePaul",77,72
"Chattanooga","Mercer",74,62
"Clemson","Syracuse",74,73
"Creighton","Georgetown",79,66
"Florida A&M","Savannah St",61,58
"Houston","Tulane",63,45
"Houston Bap","McNeese St",82,73
"Indiana","Wisconsin",59,58
"Iowa","Nebraska",77,66
"Kent","W Michigan",87,84
"LSU","Kentucky",85,67
"Marquette","Providence",65,64
"Memphis","Nicholls St",82,46
"Penn St","Minnesota",86,77
"Princeton","Norfolk St",83,74
"Rhode Island","Richmond",77,65
"Samford","Citadel",94,74
"SC Upstate","NC A&T",78,68
"South Carolina","Auburn",81,69
"TAM C. Christi","Cent Arkansas",94,82
"Temple","Connecticut",55,53
"Texas","Kansas St",60,57
"Tulsa","East Carolina",55,43
"UNC Greensboro","Furman",67,66
"VA Commonwealth","St Joseph's PA",85,82
"Wofford","VMI",65,61
"Albany NY","UMBC",73,59
"Ball St","Toledo",87,69
"Belmont","Edwardsville",85,77
"Bowling Green","Miami OH",73,62
"Bucknell","American Univ",72,54
"Colorado St","UNLV",66,65
"Columbia","MD E Shore",81,75
"Cornell","Howard",84,81
"Davidson","Duquesne",77,66
"Dayton","Massachusetts",93,63
"Denver","Oral Roberts",78,75
"Duke","Wake Forest",91,75
"E Michigan","C Michigan",99,80
"Fordham","La Salle",66,61
"Fresno St","Nevada",85,63
"Gardner Webb","Campbell",71,68
"Georgia","Missouri",77,59
"Hampton","Morgan St",83,80
"Hawaii","Cal Poly SLO",86,73
"Holy Cross","Colgate",65,63
"Illinois St","Loyola-Chicago",54,52
"Indiana St","Drake",79,69
"Iowa St","Texas Tech",76,69
"IPFW","South Dakota",85,65
"Lafayette","Army",76,73
"Liberty","Coastal Car",62,61
"Long Beach St","CS Northridge",94,79
"Loyola MD","Lehigh",51,50
"MA Lowell","Hartford",80,76
"Maryland","Rutgers",88,63
"Missouri St","Northern Iowa",59,58
"N Illinois","Ohio",80,69
"Navy","Boston Univ",83,67
"North Florida","Stetson",97,79
"Ohio St","Northwestern",65,56
"Oregon","California",68,65
"Pittsburgh","Georgia Tech",89,84
"Presbyterian","Longwood",78,65
"Radford","Charleston So",80,73
"S Illinois","Bradley",65,44
"San Diego St","San Jose St",77,62
"St Bonaventure","George Mason",77,58
"St Louis","G Washington",65,62
"Stanford","Oregon St",78,72
"Stony Brook","Binghamton",62,52
"Tennessee","Florida",83,69
"Tennessee St","E Illinois",66,61
"Texas A&M","Mississippi St",61,60
"UCF","South Florida",75,64
"UNC Asheville","Winthrop",85,84
"Vermont","Maine",90,72
"Villanova","Seton Hall",72,63
"Wichita St","Evansville",67,64
"Wyoming","Air Force",64,52
"Xavier","St John's",74,66
"Yale","NJIT",83,65
"Ark Little Rock","ULL",77,57
"Arkansas St","ULM",68,65
"Austin Peay","Jacksonville St",73,54
"BYU","Santa Clara",97,61
"Charlotte","Southern Miss",82,76
"Col Charleston","Hofstra",72,61
"CS Fullerton","UC Riverside",79,73
"Elon","James Madison",79,73
"F Dickinson","Sacred Heart",80,68
"Florida Intl","WKU",75,72
"Georgia St","Troy",72,68
"Grand Canyon","UTRGV",83,63
"Idaho St","N Colorado",83,78
"Iona","Rider",67,58
"IUPUI","S Dakota St",74,67
"Louisville","NC State",77,72
"Manhattan","Canisius",94,86
"Marshall","FL Atlantic",90,67
"Michigan St","Illinois",79,54
"Mississippi","Alabama",74,66
"Missouri KC","Seattle",84,69
"Montana","Portland St",79,66
"Montana St","CS Sacramento",71,64
"Morehead St","SE Missouri St",96,69
"Mt St Mary's","Central Conn",73,62
"MTSU","UTEP",78,72
"NE Omaha","N Dakota St",91,82
"New Mexico St","Utah Valley",78,66
"Niagara","St Peter's",63,61
"Northeastern","Delaware",88,56
"Notre Dame","Boston College",82,54
"Old Dominion","Louisiana Tech",56,53
"Pepperdine","Pacific",81,76
"Purdue","Michigan",87,70
"Robert Morris","Long Island",70,60
"San Francisco","San Diego",73,65
"Siena","Fairfield",91,76
"SMU","Cincinnati",59,57
"South Alabama","Ga Southern",64,58
"St Francis NY","St Francis PA",73,56
"St Mary's CA","Loy Marymount",73,48
"Tennessee Tech","Murray St",71,65
"TN Martin","E Kentucky",78,70
"Towson","UNC Wilmington",76,60
"UAB","UT San Antonio",104,82
"UC Irvine","UC Davis",76,55
"UCLA","Arizona",87,84
"USC","Arizona St",75,65
"UT Arlington","Appalachian St",71,67
"Wagner","Bryant",65,56
"Weber St","North Dakota",74,62
"WI Green Bay","Cleveland St",87,67
"WI Milwaukee","Youngstown St",81,65
"William & Mary","Drexel",72,63
"Akron","W Michigan",62,53
"Buffalo","Kent",76,67
"Detroit","IL Chicago",87,69
"Utah","Colorado",56,54
"Valparaiso","Oakland",84,67
"Alabama A&M","Ark Pine Bluff",85,70
"Alabama St","MS Valley St",75,74
"Albany NY","Vermont",69,57
"Appalachian St","Texas St",76,56
"Ark Little Rock","ULM",58,57
"Arkansas","Mississippi St",82,68
"Arkansas St","ULL",71,69
"Army","Loyola MD",73,59
"Baylor","Iowa St",94,89
"Belmont","E Illinois",85,59
"Boise St","Fresno St",81,70
"Boston Univ","Lafayette",68,47
"Bryant","Mt St Mary's",82,79
"Bucknell","Holy Cross",98,71
"BYU","San Francisco",102,92
"C Michigan","Bowling Green",79,67
"Cent Arkansas","Lamar",93,76
"Colorado St","San Jose St",85,84
"Connecticut","Memphis",81,78
"Creighton","Seton Hall",82,67
"CS Bakersfield","Missouri KC",83,72
"CS Northridge","CS Fullerton",85,75
"Davidson","George Mason",81,75
"Drexel","Col Charleston",61,54
"Duke","Virginia Tech",82,58
"E Kentucky","SE Missouri St",88,69
"E Washington","Idaho",74,60
"ETSU","UNC Greensboro",86,83
"Evansville","Bradley",67,35
"F Dickinson","Central Conn",92,73
"Fairfield","Rider",69,64
"FL Gulf Coast","Stetson",82,53
"Florida","LSU",68,62
"Furman","Chattanooga",70,55
"G Washington","Duquesne",91,64
"Ga Southern","Troy",93,88
"Gardner Webb","Radford",83,61
"Georgetown","DePaul",74,63
"Georgia St","South Alabama",70,55
"Georgia Tech","Virginia",68,64
"Gonzaga","Portland",85,74
"Grand Canyon","New Mexico St",79,75
"Hampton","Bethune-Cookman",75,70
"Harvard","Dartmouth",77,70
"Hawaii","Santa Barbara",65,57
"High Point","Presbyterian",82,66
"Hofstra","Elon",80,76
"Houston Bap","SE Louisiana",77,58
"Howard","Coppin St",72,63
"Incarnate Word","Northwestern LA",70,56
"Indiana St","Illinois St",77,65
"Iona","Marist",90,80
"IPFW","Denver",65,64
"IUPUI","W Illinois",67,60
"Jackson St","Alcorn St",80,71
"James Madison","Towson",73,59
"Kansas","Texas Tech",69,59
"Kennesaw","Lipscomb",102,86
"Kentucky","Alabama",77,61
"La Salle","Dayton",61,57
"Lehigh","American Univ",65,50
"Liberty","Campbell",55,52
"Long Beach St","UC Davis",59,47
"Longwood","Coastal Car",76,61
"Louisiana Tech","Charlotte",93,90
"Marquette","St John's",81,75
"Marshall","Florida Intl",99,81
"Maryland","Wisconsin",63,60
"Mercer","Citadel",91,80
"Miami FL","Florida St",72,59
"Mississippi","Georgia",72,71
"Missouri","Auburn",76,61
"Missouri St","Loyola-Chicago",56,54
"Monmouth NJ","Quinnipiac",88,74
"Montana","CS Sacramento",77,58
"Morehead St","TN Martin",64,58
"Morgan St","Delaware St",63,58
"MTSU","UT San Antonio",79,71
"Murray St","Jacksonville St",69,54
"N Illinois","E Michigan",80,63
"Navy","Colgate",71,68
"NE Omaha","South Dakota",79,73
"Nebraska","Rutgers",90,56
"Nevada","Air Force",86,63
"New Hampshire","Binghamton",58,43
"New Mexico","Utah St",77,59
"Niagara","Manhattan",55,53
"Nicholls St","Abilene Chr",63,62
"Norfolk St","Florida A&M",77,56
"North Carolina","Syracuse",84,73
"North Dakota","Idaho St",84,76
"North Florida","Jacksonville",83,68
"North Texas","Rice",85,74
"Northern Arizona","Southern Utah",73,63
"Northern Iowa","Drake",77,44
"Northwestern","Minnesota",77,52
"Ohio","Ball St",79,73
"Oklahoma","Kansas St",86,76
